team,group,P(R32),P(R32)_delta,P(R16),P(R16)_delta,P(QF),P(QF)_delta,P(SF),P(SF)_delta,P(Final),P(Final)_delta,P(win),P(win)_delta,P(group_winner),P(group_winner)_delta
Argentina,J,0.9981,0.0125,0.7463,0.0395,0.6017,0.0381,0.4495,0.0325,0.2863,0.0193,0.1782,0.0152,0.8648,0.0822
Spain,H,0.9584,-0.0308,0.707,-0.0193,0.509,-0.0031,0.3981,-0.0032,0.2596,-0.0089,0.1614,-0.0048,0.7504,-0.0141
France,I,0.9961,0.0291,0.7555,0.0277,0.4974,0.0268,0.3408,0.0193,0.2071,0.0132,0.1161,0.0062,0.7985,0.1181
England,L,0.9964,0.0206,0.7624,0.0574,0.5262,0.0454,0.3138,0.0186,0.179,0.0052,0.0983,0.001,0.9188,0.2063
Brazil,C,0.9754,-0.0038,0.6879,-0.0111,0.4846,-0.013,0.2994,-0.016,0.1744,-0.0111,0.0968,-0.0055,0.6552,-0.0383
Colombia,K,0.9916,0.0653,0.7107,0.0914,0.4561,0.0832,0.2319,0.0207,0.1173,0.0102,0.0576,0.0061,0.6455,0.2384
Germany,E,0.998,0.0242,0.6633,0.0037,0.337,-0.013,0.1966,-0.0091,0.0964,-0.0052,0.0453,-0.002,0.6816,0.0841
Portugal,K,0.8559,-0.0773,0.5785,-0.0486,0.3221,-0.0566,0.1761,-0.0204,0.0863,-0.0092,0.0406,-0.0038,0.2984,-0.1966
Netherlands,F,0.9194,-0.0063,0.4938,-0.017,0.325,-0.0121,0.1659,-0.0087,0.0824,-0.0027,0.0381,-0.0038,0.5131,-0.0463
Belgium,G,0.9024,-0.0257,0.6095,-0.0079,0.3393,0.0026,0.1431,0.0087,0.0609,0.0023,0.024,0.0002,0.6005,0.0234
Morocco,C,0.9184,0.0404,0.4571,0.0234,0.2465,0.0082,0.1047,0.0032,0.0454,0.0042,0.0156,0.0001,0.1867,-0.0337
Norway,I,0.9768,0.1948,0.4921,0.0979,0.2154,0.0365,0.0937,0.0155,0.0369,0.0076,0.0135,0.0032,0.1821,0.0066
Mexico,A,0.9886,0.0604,0.6015,0.0246,0.259,-0.0061,0.0989,-0.005,0.0382,-0.0027,0.0134,-0.0029,0.6707,0.0837
Uruguay,H,0.752,-0.1244,0.3029,-0.0676,0.1628,-0.0361,0.0824,-0.0203,0.0336,-0.0073,0.0131,-0.0015,0.1539,-0.0371
Croatia,L,0.81,-0.0566,0.3684,-0.0506,0.1509,-0.0329,0.0795,-0.0043,0.0311,-0.0017,0.0114,-0.0009,0.0231,-0.2003
Ecuador,E,0.7651,-0.1431,0.3847,-0.1114,0.1763,-0.034,0.0701,-0.0268,0.0295,-0.0096,0.0107,-0.0034,0.0502,-0.2053
Switzerland,B,0.8235,-0.0958,0.4825,-0.0707,0.223,-0.0333,0.0771,-0.0148,0.0273,-0.0068,0.0094,-0.0026,0.3311,-0.1229
Japan,F,0.8457,0.0366,0.3378,0.0026,0.1759,-0.0015,0.0738,-0.0015,0.0283,-0.0015,0.0092,-0.0013,0.2169,-0.0445
Austria,J,0.9414,0.1794,0.3493,0.0675,0.1596,0.0333,0.0646,0.0117,0.0224,0.004,0.007,0.0017,0.1217,0.0028
Australia,D,0.9467,0.2518,0.5369,0.1688,0.2059,0.0635,0.072,0.0237,0.0244,0.0069,0.0062,0.0002,0.3879,0.1436
United States,D,0.9672,0.2008,0.5188,0.1279,0.1946,0.0507,0.0587,0.0146,0.0186,0.0067,0.0047,0.0017,0.5226,0.1799
South Korea,A,0.9485,0.1846,0.5095,0.1119,0.192,0.0357,0.057,0.011,0.0189,0.0039,0.0046,0.0,0.2774,0.0647
Iran,G,0.5986,-0.1794,0.3055,-0.0774,0.1094,-0.0313,0.036,-0.0063,0.0101,-0.0035,0.0032,-0.0001,0.1582,-0.0585
