bet_id,ts_utc,status,match_id,match_desc,selection,decimal_odds,model_prob_old,ev_old,clv_old,clv_corrected,clv_delta,basis
1,2026-06-11T10:12:38,lost,WC2026_USA_PAR,USA vs Paraguay,Paraguay,4.2,0.255,0.07100000000000017,0.013692704517961785,0.4552970130961915,0.44160430857822974,DC 1X2: back Paraguay (away) (p=0.3465)
2,2026-06-11T10:12:38,lost,WC2026_CAN_BIH,Canada vs Bosnia and Herzegovina,Canada,1.8,0.573,0.03139999999999987,-0.07219580502290202,-0.37125099970858855,-0.29905519468568653,DC 1X2: back Canada (home) (p=0.3493)
3,2026-06-11T10:12:38,won,WC2026_MEX_RSA,Mexico vs South Africa,Raul Jimenez Yes,2.55,0.5,0.2749999999999999,,,,no corrected single-match model (prop/acca/outright)
4,2026-06-11T10:28:09,won,WC2026_MEX_RSA,Mexico vs South Africa,Raul Jimenez 1+ SOT Yes,2.0,0.8,0.6000000000000001,,,,no corrected single-match model (prop/acca/outright)
5,2026-06-11T11:16:29,lost,WC2026_FREEBET_ACCA_D1,Treble: S.Korea + Paraguay + Canada,Korea/Paraguay/Canada all win,20.41,,,,,,no corrected single-match model (prop/acca/outright)
6,2026-06-11T12:58:42,won,WC2026_MEX_RSA,Mexico vs South Africa,Mexico Yes,1.449,0.713,0.03313699999999997,-0.030064622566361998,-0.24385701118966907,-0.21379238862330707,DC 1X2: back Mexico (p=0.5218)
7,2026-06-11T12:58:42,lost,WC2026_CAN_BIH,Canada vs Bosnia and Herzegovina,Canada Yes,1.887,0.574,0.08313799999999993,-0.027351935599008947,-0.3408614646945036,-0.3135095290954947,DC 1X2: back Canada (p=0.3493)
8,2026-06-11T12:58:42,won,WC2026_KOR_CZE,South Korea vs Czech Republic,Korea Republic Yes,2.778,0.376,0.0445279999999999,0.01828133776407026,-0.17210534486786533,-0.1903866826319356,DC 1X2: back South Korea (p=0.2980)
9,2026-06-11T12:58:42,lost,WC2026_USA_PAR,USA vs Paraguay,Paraguay Yes,4.348,0.259,0.1261319999999999,0.04941330458192805,0.5065789078433904,0.4571656032614624,DC 1X2: back Paraguay (p=0.3465)
10,2026-06-11T15:32:26,won,WC2026_KOR_CZE,South Korea v Czechia,South Korea,2.71,0.376,0.018960000000000088,-0.006644195341745873,-0.19237058480630498,-0.1857263894645591,DC 1X2: back South Korea (p=0.2980)
11,2026-06-11T15:52:42,open,WC2026_GOLDEN_BOOT,FIFA World Cup 2026 Golden Boot,Harry Kane (England),7.5,,,,,,outright golden boot: no Elo+DC model (not repriceable)
12,2026-06-11T16:47:02,lost,WC2026_KOR_CZE,South Korea vs Czech Republic,BTTS - No,1.95,0.549,0.07055000000000011,,0.07729427797727118,,DC: BTTS - No (p=0.5525)
13,2026-06-11T20:01:53,won,WC2026_MEX_RSA,Mexico vs South Africa,Raul Jimenez,6.0,,,,,,no corrected single-match model (prop/acca/outright)
14,2026-06-11T21:00:40,open,WC2026_JPN_R16,2026 FIFA World Cup - Japan Round of 16,Japan reach R16 - No,1.6667,0.685,0.14168950000000025,,0.11177223499999989,,recompute_report.csv new_ev (corrected model-fair close)
15,2026-06-12T13:05:52,lost,MANUAL_BRAZIL_VS_MOROCCO,Brazil vs Morocco,Morocco,6.2,0.175,0.084,0.08010497251552429,-0.09337302740818154,-0.17347799992370583,DC 1X2: back Morocco (away) (p=0.1462)
16,2026-06-12T13:21:05,lost,MANUAL_QATAR_VS_SWITZERLAND,Qatar vs Switzerland,Qatar,17.0,0.077,0.305,0.05989947816046626,0.7414699194892815,0.6815704413288153,DC 1X2: back Qatar (home) (p=0.1024)
17,2026-06-12T12:00:00,lost,ACC2_CAN,Canada (qualifier),Canada,1.88,0.574,0.073,-0.03096006302391996,-0.3433065996956369,-0.31234653667171697,DC 1X2: back Canada (p=0.3493)
18,2026-06-12T12:00:00,won,ACC2_USA,USA (qualifier),USA,2.2,,,0.01504387034258503,-0.27189535967208167,-0.2869392300146667,DC 1X2: back USA (home) (p=0.3310)
19,2026-06-12T12:00:00,lost,ACC2_TREBLE,Treble: Netherlands + Brazil + Paraguay,Netherlands/Brazil/Paraguay all win,12.87,,,,,,no corrected single-match model (prop/acca/outright)
20,2026-06-12T14:49:04,lost,MANUAL_CANADA_VS_BOSNIA_HERZEGOVINA,Canada vs Bosnia & Herzegovina,Under 8.5,2.07,,,,,,no corrected single-match model (prop/acca/outright)
21,2026-06-12T14:50:27,lost,MANUAL_CANADA_VS_BOSNIA_HERZEGOVINA,Canada vs Bosnia & Herzegovina,Under 3.5,2.35,,,,,,no corrected single-match model (prop/acca/outright)
22,2026-06-12T15:14:12,won,AUS_TUR_20260614,Australia vs Turkey,Australia,5.5,0.245,0.35,-0.009979444027322204,0.7153062069280336,0.7252856509553558,DC 1X2: back Australia (p=0.3119)
41,2026-06-12T13:00:00,lost,UNITEDSTATES_PARAGUAY,United States vs Paraguay,United States 0-1 Paraguay,11.11111111111111,,-0.3777777777777779,,,,no corrected single-match model (prop/acca/outright)
