# 2026 FIFA World Cup host venues (16 cities across the 3 co-hosts).
# Used for venue/geography-aware host advantage: only matches played in a host's
# OWN country grant a (diluted) host bonus, and altitude taxes visiting sea-level
# teams (chiefly the Mexican venues, above all Estadio Azteca in Mexico City).
#   altitude_m : stadium altitude in metres
# city names match the LOCATION field of World_Cup_2026_Calendar_Bahrain.ics.
city,stadium,country,altitude_m
Mexico City,Estadio Azteca,Mexico,2240
Guadalajara,Estadio Akron,Mexico,1566
Zapopan,Estadio Jalisco,Mexico,1566
Monterrey,Estadio BBVA,Mexico,540
Toronto,BMO Field,Canada,76
Vancouver,BC Place,Canada,0
Atlanta,Mercedes-Benz Stadium,United States,320
Foxborough,Gillette Stadium,United States,30
Arlington,AT&T Stadium,United States,160
Houston,NRG Stadium,United States,15
Kansas City,Arrowhead Stadium,United States,270
Los Angeles,SoFi Stadium,United States,40
Inglewood,SoFi Stadium,United States,40
Miami,Hard Rock Stadium,United States,2
Miami Gardens,Hard Rock Stadium,United States,2
New Jersey,MetLife Stadium,United States,5
East Rutherford,MetLife Stadium,United States,5
Philadelphia,Lincoln Financial Field,United States,12
Santa Clara,Levi's Stadium,United States,8
Seattle,Lumen Field,United States,50
