kind,stage,market_slug,market_title,outcome,settlement,pm_mid,pm_buy_ask,model_fair_prob,edge_pp,ev_pct,liquidity
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Brazil,reach SF (advance incl ET/pens),0.335,0.34,0.5196,18.46,55.11,68524.0
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Belgium,reach QF (advance incl ET/pens),0.315,0.32,0.4867,17.17,54.5,159907.7
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,Bosnia and Herzegovina,reach R16 = win R32 tie (advance incl ET/pens),0.175,0.18,0.3402,16.52,94.4,36432.8
r32_to_advance,R32,world-cup-bosnia-herzegovina-stage-of-elimination,Bosnia & Herzegovina to advance past R32 (M81 vs United States),Bosnia & Herzegovina advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.18,0.19,0.3433,16.33,90.71,34791.3
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Paraguay,reach QF (advance incl ET/pens),0.1385,0.139,0.2901,15.16,109.47,14611.6
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Brazil,reach QF (advance incl ET/pens),0.665,0.67,0.8006,13.56,20.39,32595.4
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Brazil,reach final (advance incl ET/pens),0.175,0.18,0.3093,13.43,76.74,117228.4
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,Sweden,reach R16 = win R32 tie (advance incl ET/pens),0.105,0.11,0.2353,13.03,124.11,43063.1
r32_to_advance,R32,world-cup-sweden-stage-of-elimination,Sweden to advance past R32 (M77 vs France),Sweden advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.115,0.12,0.2362,12.12,105.38,14660.7
outright,Win,world-cup-winner,World Cup Winner,Brazil,outright champion (incl ET/pens),0.0705,0.071,0.1878,11.73,166.38,3654778.2
r32_to_advance,R32,world-cup-ecuador-stage-of-elimination,Ecuador to advance past R32 (M79 vs Mexico),Ecuador advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.375,0.38,0.4871,11.21,29.9,35198.1
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,Ecuador,reach R16 = win R32 tie (advance incl ET/pens),0.385,0.39,0.4884,10.34,26.86,29711.3
r32_to_advance,R32,world-cup-australia-stage-of-elimination,Australia to advance past R32 (M88 vs Egypt),Australia advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.435,0.44,0.5338,9.88,22.7,33326.8
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,Australia,reach R16 = win R32 tie (advance incl ET/pens),0.435,0.44,0.5336,9.86,22.66,26189.0
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,Belgium,reach R16 = win R32 tie (advance incl ET/pens),0.585,0.59,0.6733,8.83,15.09,27398.5
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Belgium,reach SF (advance incl ET/pens),0.105,0.11,0.1865,8.15,77.58,72488.4
r32_to_advance,R32,world-cup-belgium-stage-of-elimination,Belgium to advance past R32 (M82 vs Senegal),Belgium advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.59,0.6,0.6707,8.07,13.67,18544.4
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Paraguay,reach SF (advance incl ET/pens),0.0635,0.064,0.136,7.25,114.11,44899.4
r32_to_advance,R32,world-cup-ivory-coast-stage-of-elimination,Ivory Coast to advance past R32 (M78 vs Norway),Ivory Coast advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.355,0.36,0.4235,6.85,19.29,8796.5
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,Croatia,reach R16 = win R32 tie (advance incl ET/pens),0.3,0.31,0.3655,6.55,21.84,21280.2
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Spain,reach final (advance incl ET/pens),0.215,0.22,0.2797,6.47,30.08,248868.8
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Belgium,reach final (advance incl ET/pens),0.0315,0.032,0.0952,6.37,202.35,97034.6
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Sweden,reach QF (advance incl ET/pens),0.0585,0.06,0.1222,6.37,108.89,75185.8
r32_to_advance,R32,world-cup-croatia-stage-of-elimination,Croatia to advance past R32 (M83 vs Portugal),Croatia advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.305,0.31,0.3665,6.15,20.16,40421.6
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,Ivory Coast,reach R16 = win R32 tie (advance incl ET/pens),0.365,0.37,0.4239,5.89,16.13,24911.9
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,Austria,reach R16 = win R32 tie (advance incl ET/pens),0.132,0.135,0.1862,5.42,41.06,15411.6
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Ecuador,reach QF (advance incl ET/pens),0.1305,0.131,0.1821,5.16,39.56,74207.4
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Australia,reach QF (advance incl ET/pens),0.0675,0.08,0.1169,4.94,73.21,66470.4
outright,Win,world-cup-winner,World Cup Winner,Spain,outright champion (incl ET/pens),0.1125,0.113,0.1592,4.67,41.55,9195140.7
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Morocco,reach SF (advance incl ET/pens),0.2355,0.249,0.2822,4.67,19.85,28577.8
r32_to_advance,R32,world-cup-austria-stage-of-elimination,Austria to advance past R32 (M84 vs Spain),Austria advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.14,0.15,0.1863,4.63,33.08,33025.1
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Colombia,reach QF (advance incl ET/pens),0.495,0.5,0.5388,4.38,8.84,139634.4
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Canada,reach QF (advance incl ET/pens),0.295,0.3,0.3356,4.06,13.75,66836.9
r32_to_advance,R32,world-cup-colombia-stage-of-elimination,Colombia to advance past R32 (M87 vs Ghana),Colombia advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.79,0.8,0.8275,3.75,4.74,41322.3
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Bosnia and Herzegovina,reach QF (advance incl ET/pens),0.047,0.05,0.0822,3.52,74.94,92636.0
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Colombia,reach SF (advance incl ET/pens),0.205,0.22,0.2388,3.38,16.48,140710.1
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,Colombia,reach R16 = win R32 tie (advance incl ET/pens),0.795,0.8,0.8254,3.04,3.82,42904.3
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Canada,reach SF (advance incl ET/pens),0.062,0.063,0.0894,2.74,44.26,60571.3
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Croatia,reach QF (advance incl ET/pens),0.095,0.1,0.1221,2.71,28.57,62357.2
r32_to_advance,R32,world-cup-algeria-stage-of-elimination,Algeria to advance past R32 (M85 vs Switzerland),Algeria advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.335,0.34,0.3618,2.68,7.99,32715.3
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Sweden,reach SF (advance incl ET/pens),0.0335,0.039,0.0595,2.6,77.67,86048.4
outright,Win,world-cup-winner,World Cup Winner,Colombia,outright champion (incl ET/pens),0.0275,0.028,0.051,2.35,85.53,2344181.2
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Australia,reach SF (advance incl ET/pens),0.0195,0.022,0.0426,2.31,118.36,108090.2
outright,Win,world-cup-winner,World Cup Winner,Belgium,outright champion (incl ET/pens),0.0135,0.014,0.0358,2.23,165.19,6349562.5
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Paraguay,reach final (advance incl ET/pens),0.0195,0.02,0.0399,2.04,104.62,52289.7
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Senegal,reach QF (advance incl ET/pens),0.165,0.17,0.1844,1.94,11.78,138656.3
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,Algeria,reach R16 = win R32 tie (advance incl ET/pens),0.345,0.35,0.3608,1.58,4.57,21309.5
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Sweden,reach final (advance incl ET/pens),0.0045,0.006,0.0189,1.44,319.56,51934.3
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Croatia,reach SF (advance incl ET/pens),0.056,0.06,0.0684,1.24,22.11,52689.8
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Switzerland,reach SF (advance incl ET/pens),0.0875,0.092,0.0998,1.23,14.1,72628.0
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Morocco,reach final (advance incl ET/pens),0.097,0.099,0.1087,1.17,12.02,84248.2
